,booliId,streetAddress,constructionYear,soldPriceAbsoluteDiff,soldPricePercentageDiff,listPrice,objectType,descriptiveAreaName,soldPriceType,daysActive,soldDate,latitude,longitude,url,__typename,soldPrice.raw,floor.raw,soldSqmPrice.raw,livingArea.raw,rooms.raw,soldPriceAbsoluteDiff.raw,soldPricePercentageDiff.raw,listPrice.raw,floor,soldSqmPrice,livingArea,rooms
74,2050784,Klippgatan 14E,1930.0,,,,Lägenhet,Södermalm,Slutpris,13.0,2016-03-17,59.314186,18.087606,/annons/2050784,SoldProperty,2650000,11.0,101923.0,26.0,1.0,655000.0,32.8,1995000.0,,,,
75,2034352,Åsögatan 174,1930.0,,,,Lägenhet,Södermalm,Slutpris,14.0,2016-04-15,59.3144916,18.0870682,/annons/2034352,SoldProperty,2610000,3.0,116000.0,22.5,1.0,615000.0,30.8,1995000.0,,,,
76,2062154,Ringvägen 151A,1929.0,,,,Lägenhet,Södermalm,Slutpris,14.0,2016-04-29,59.3094946,18.0833846,/bostad/3786076,SoldProperty,3500000,1.0,81395.0,43.0,2.0,510000.0,17.1,2990000.0,,,,
77,2090076,Åsögatan 154C,1968.0,,,,Lägenhet,Södermalm,Slutpris,3.0,2016-05-03,59.31375,18.082481,/annons/2090076,SoldProperty,6475000,4.0,78012.0,83.0,3.0,1000000.0,18.3,5475000.0,,,,
78,2080673,Åsögatan 174,1930.0,,,,Lägenhet,Södermalm,Slutpris,13.0,2016-05-11,59.3144916,18.0870682,/bostad/139083,SoldProperty,2500000,5.0,104167.0,24.0,1.0,505000.0,25.3,1995000.0,,,,
79,2084329,Drakenbergsgatan 8,1969.0,,,,Lägenhet,Södermalm,Slutpris,19.0,2016-05-11,59.31612834,18.04166436,/bostad/340677,SoldProperty,2625000,1.0,70946.0,37.0,1.0,275000.0,11.7,2350000.0,,,,
80,2120056,Götgatan 118,1981.0,,,,Lägenhet,Södermalm,Slutpris,19.0,2016-06-22,59.308067,18.07415,/annons/2120056,SoldProperty,5850000,1.0,62903.0,93.0,4.0,-45000.0,-0.8,5895000.0,,,,
81,2137839,Renstiernas gata 27,1959.0,,,,Lägenhet,Södermalm,Slutpris,12.0,2016-07-20,59.3138592,18.084786,/annons/2137839,SoldProperty,3050000,7.0,122000.0,25.0,1.0,755000.0,32.9,2295000.0,,,,
82,2157106,Flintbacken 16,1964.0,,,,Lägenhet,Södermalm,Slutpris,18.0,2016-09-06,59.30979048,18.04947826,/bostad/345737,SoldProperty,4600000,2.0,67647.0,68.0,3.0,400000.0,9.5,4200000.0,,,,
83,2171936,Renstiernas gata 27,1959.0,,,,Lägenhet,Södermalm,Slutpris,19.0,2016-09-28,59.3138592,18.084786,/bostad/706078,SoldProperty,6100000,4.0,69318.0,88.0,3.0,-150000.0,-2.4,6250000.0,,,,
84,2181974,Torbjörn Klockares gata 3,1924.0,,,,Lägenhet,Vasastan,Slutpris,13.0,2016-10-13,59.34454983,18.03321255,/annons/2181974,SoldProperty,4500000,2.0,72581.0,62.0,2.0,550000.0,13.9,3950000.0,,,,
85,2226555,Borgmästargatan 9,1930.0,,,,Lägenhet,Södermalm,Slutpris,11.0,2016-12-13,59.31416794,18.08680214,/bostad/138992,SoldProperty,4200000,3.0,102439.0,41.0,2.0,0.0,0.0,4200000.0,,,,
86,2182076,Hagagatan 18,1906.0,,,,Lägenhet,Vasastan,Slutpris,7.0,2016-09-29,59.3453708,18.0518511,/annons/2182076,SoldProperty,8900000,4.0,89000.0,100.0,3.0,1250000.0,16.3,7650000.0,,,,
87,2066730,Stagneliusvägen 23,1937.0,,,,Lägenhet,Kungsholmen,Slutpris,14.0,2016-04-15,59.32751277,18.01041132,/bostad/745299,SoldProperty,3075000,3.0,87857.0,35.0,2.0,580000.0,23.2,2495000.0,,,,
88,2088060,Tjärhovsgatan 10,1929.0,,,,Lägenhet,Södermalm,Slutpris,6.0,2016-05-04,59.3150042,18.0753746,/annons/2088060,SoldProperty,2800000,0.5,96552.0,29.0,1.0,510000.0,22.3,2290000.0,,,,
89,2073273,Karlavägen 54,1942.0,,,,Lägenhet,Östermalm,Slutpris,18.0,2016-04-26,59.33921095,18.08158206,/annons/2073273,SoldProperty,3495000,3.0,124821.0,28.0,1.0,745000.0,27.1,2750000.0,,,,
90,2104501,Olof Palmes gata 12,1938.0,,,,Lägenhet,Norrmalm,Slutpris,18.0,2016-06-04,59.33628986,18.06140589,/bostad/344912,SoldProperty,3900000,2.0,95122.0,41.0,2.0,625000.0,19.1,3275000.0,,,,
91,2118889,Pipersgatan 18,1934.0,,,,Lägenhet,Kungsholmen,Slutpris,19.0,2016-06-21,59.33073,18.045973,/annons/2118889,SoldProperty,3050000,1.0,82432.0,37.0,2.0,55000.0,1.8,2995000.0,,,,
92,2144322,Brännkyrkagatan 119,1945.0,,,,Lägenhet,Södermalm,Slutpris,6.0,2016-08-03,59.31720688,18.04450442,/bostad/594078,SoldProperty,2500000,1.0,119048.0,21.0,1.0,625000.0,33.3,1875000.0,,,,
93,2131475,Skånegatan 72A,1882.0,,,,Lägenhet,Södermalm,Slutpris,14.0,2016-08-12,59.311977,18.078146,/bostad/736731,SoldProperty,3300000,3.0,97059.0,34.0,1.5,550000.0,20.0,2750000.0,,,,
94,2161944,Östgötagatan 33,1912.0,,,,Lägenhet,Södermalm,Slutpris,21.0,2016-09-16,59.31486,18.07649,/bostad/150171,SoldProperty,3470000,4.0,93784.0,37.0,1.0,520000.0,17.6,2950000.0,,,,
95,2144321,Heleneborgsgatan 30B,1927.0,,,,Lägenhet,Södermalm,Slutpris,15.0,2016-08-12,59.31977546,18.03840781,/annons/2144321,SoldProperty,3400000,2.0,85000.0,40.0,1.0,450000.0,15.3,2950000.0,,,,
96,2178518,Stagneliusvägen 23,,,,,Lägenhet,Kungsholmen,Slutpris,61.0,2016-09-28,59.32751277,18.01041132,/bostad/745309,SoldProperty,2375000,4.0,107955.0,22.0,1.0,485000.0,25.7,1890000.0,,,,
97,2178361,Södermannagatan 76,1887.0,,,,Lägenhet,Södermalm,Slutpris,14.0,2016-10-21,59.30735479,18.08336866,/bostad/336332,SoldProperty,3900000,1.0,81250.0,48.0,2.0,-75000.0,-1.9,3975000.0,,,,
98,2179096,Regeringsgatan 70F,,,,,Lägenhet,Centrum,Slutpris,7.0,2016-10-28,59.3371,18.0686,/bostad/704879,SoldProperty,6200000,1.0,78481.0,79.0,3.0,725000.0,13.2,5475000.0,,,,
99,2178467,Alströmergatan 32R,,,,,Lägenhet,Kungsholmen,Slutpris,87.0,2016-11-04,59.33656568,18.02685285,/annons/2178467,SoldProperty,3250000,2.0,116071.0,28.0,1.0,875000.0,36.8,2375000.0,,,,
100,2224214,Repslagargatan 8,1992.0,,,,Lägenhet,Södermalm,Slutpris,5.0,2016-12-03,59.317814,18.070112,/bostad/326737,SoldProperty,8000000,3.0,77670.0,103.0,4.0,1305000.0,19.5,6695000.0,,,,
101,2215265,Lindvallsgatan 2,1929.0,,,,Lägenhet,Södermalm,Slutpris,13.0,2016-11-24,59.3168469,18.02984,/annons/2215265,SoldProperty,3750000,5.0,87209.0,43.0,1.5,650000.0,21.0,3100000.0,,,,
102,2228215,Creutzgatan 8,1926.0,,,,Lägenhet,Kungsholmen,Slutpris,2.0,2016-12-09,59.33282,18.014616,/annons/2228215,SoldProperty,3150000,1.0,82895.0,38.0,1.0,555000.0,21.4,2595000.0,,,,
103,2229866,Thorildsvägen 4,1926.0,,,,Lägenhet,Kungsholmen,Slutpris,3.0,2016-12-16,59.3327434,18.0166616,/annons/2229866,SoldProperty,2950000,4.0,107273.0,27.5,1.0,655000.0,28.5,2295000.0,,,,
104,2226510,Linnégatan 17A,1940.0,,,,Lägenhet,Östermalm,Slutpris,14.0,2016-12-16,59.3377,18.0783,/bostad/658090,SoldProperty,3130000,1.0,120385.0,26.0,1.0,535000.0,20.6,2595000.0,,,,
105,2016377,Valhallavägen 12B,1971.0,,,,Lägenhet,Östermalm,Slutpris,14.0,2016-01-13,59.3490847,18.0611035,/bostad/333969,SoldProperty,5500000,4.0,83333.0,66.0,3.0,1000000.0,22.2,4500000.0,,,,
106,2025101,Riddargatan 21,1939.0,,,,Lägenhet,Östermalm,Slutpris,14.0,2016-02-03,59.33328829,18.08288994,/bostad/706559,SoldProperty,3300000,1.0,110000.0,30.0,1.0,550000.0,20.0,2750000.0,,,,
107,2029324,Sysslomansgatan 22,1940.0,,,,Lägenhet,Kungsholmen,Slutpris,12.0,2016-02-09,59.3310869,18.0243153,/annons/2029324,SoldProperty,4800000,6.0,76190.0,63.0,2.0,800000.0,20.0,4000000.0,,,,
